Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   74    0 0xfffffe0007754170 0xd1e2     0xd1e2     com.apple.iokit.EndpointSecurity (1) 9F7FCAB9-8BBC-385E-9471-777C74CD86E7 <24 20 9 8 7 6 5 4 3>
   75    2 0xfffffe00078d9510 0xec21     0xec21     com.apple.iokit.IOBluetoothFamily (9.0.0) AED45613-26F4-32E0-929E-644D2E0E2DC7 <66 28 26 9 8 7 6 5 3>
   76    1 0xfffffe000791cf90 0x483d     0x483d     com.apple.iokit.IOGraphicsFamily (599) 3AE8D2E8-5744-3576-AEF0-191E4014B1BE <67 9 7 6 5 3>
   77    5 0xfffffe0007927a50 0x1eca     0x1eca     com.apple.driver.DiskImages (493.0.0) 6ECC3295-51C3-3BF8-9351-2408989B9263 <22 9 8 7 6 5 3>
   78    0 0xfffffe000793bae0 0x6a9      0x6a9      com.apple.iokit.IOKitRegistryCompatibility (1) 15339EFB-54A2-3CBC-A392-EDAFE222FE24 <6 5>
   79    3 0xfffffe0007a04040 0xbbe8     0xbbe8     com.apple.iokit.IOTimeSyncFamily (1340.12) B7825B46-B870-33AE-AD87-985FF5E91706 <50 48 28 8 7 6 5 3>
   80    0 0xfffffe0007a8cec0 0x4007     0x4007     com.apple.driver.usb.AppleUSBUserHCI (1) 4D19D93E-BD8D-3080-AA84-3BCEFC22AC58 <66 64 8 7 6 5 3>
   81    0 0xfffffe0007aaca40 0x1301     0x1301     com.apple.iokit.IOUserEthernet (1.0.1) F3143D3D-5545-3A50-AC36-0E3A85142446 <48 20 8 7 6 5 3>
   82    0 0xfffffe0007a83e80 0x11e1     0x11e1     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 5206AD48-012A-3D8C-A82B-3FA90234152D <66 64 9 8 7 6 5 3>
   83    0 0xfffffe0007552b80 0x1f42     0x1f42     com.apple.driver.AppleMobileApNonce (1) F771CA88-8BBF-3E53-AEE7-65A2074B4255 <43 28 16 9 8 7 6 5 3>
   84    0 0xfffffe0007543f60 0x59ae     0x59ae     com.apple.driver.AppleM68Buttons (1.0.0d1) 9CB168AC-2E61-3B97-A3EC-B676B6BE0D5F <38 28 9 8 7 6 5 3>
   85    2 0xfffffe0007589520 0x1022     0x1022     com.apple.driver.ApplePIODMA (1) 6E3DD348-687E-37E6-A6EC-B84234C5DC39 <7 6 5 3>
   86    8 0xfffffe00073e3f30 0x6438     0x6438     com.apple.driver.AppleEmbeddedPCIE (1) 0B3B580D-98BD-38CF-B435-B91EA38FF0F0 <85 67 42 28 26 9 8 7 6 5 3>
   87    9 0xfffffe0007b9b7a0 0x6926     0x6926     com.apple.driver.corecapture (1.0.4) 33E77D7E-0ECF-3473-8A4C-EC78A79DAAEB <9 8 7 6 5 3>
   88    1 0xfffffe0007579d90 0x2bd9     0x2bd9     com.apple.driver.AppleMultiFunctionManager (1) 5BC555DF-BB3D-3BF1-8A9F-AAB146AF3BB8 <87 86 67 66 58 28 9 8 7 6 5 3>
   89    2 0xfffffe00073f0d00 0x1497     0x1497     com.apple.driver.AppleEverestErrorHandler (1) D3D3C132-2C18-355D-A16B-A260FF220382 <28 26 9 8 7 6 5 3>
   90    0 0xfffffe0007628210 0x4070     0x4070     com.apple.driver.AppleT6041 (1) 40037B49-2626-34B3-8EAA-EE196A5B9B95 <89 28 26 9 8 7 6 5 3>
   91    3 0xfffffe00073fe790 0x1630     0x1630     com.apple.driver.AppleGPIOICController (1.0.2) 8D50EF21-0C23-3985-8E43-932EDE1B7AE5 <28 26 9 8 7 6 5 3>
   92    0 0xfffffe00075c6d90 0xee2      0xee2      com.apple.driver.AppleS5L8940XI2C (1.0.0d2) 28F5D425-1BDE-3D97-84C0-0A53B5BCBA63 <91 28 9 7 6 5 3>
   93    4 0xfffffe00073fcbc0 0xf32      0xf32      com.apple.driver.AppleFirmwareUpdateKext (1) E59360A7-DF19-3693-952B-715417E2D366 <18 10 9 8 7 6 5 3>
   94   11 0xfffffe00073dc450 0x4eea     0x4eea     com.apple.driver.AppleEmbeddedAudioLibs (420.3) E7768D91-3E7B-333F-A400-807B82946C12 <93 30 28 9 8 7 6 5 3>
   95    6 0xfffffe0007971880 0x6016     0x6016     com.apple.iokit.IOPAudioDriverFamily (240.2) 6CECF5EA-0E94-39BD-94AD-ACBD2F9E92A3 <94 28 8 7 6 5 3>
   96    0 0xfffffe00075ec9c0 0x1849     0x1849     com.apple.driver.AppleSPIMC (1) 15670D71-6056-3841-AE03-C1E41FD33450 <28 9 7 6 5 3>
   97    0 0xfffffe00074422d0 0x23cf4    0x23cf4    com.apple.driver.AppleH16CameraInterface (3.606) CF020F33-42F8-37BA-AF62-614FBA6653B7 <62 42 36 28 26 10 9 8 7 6 5 3>
   98    0 0xfffffe000763c570 0x2fd7     0x2fd7     com.apple.driver.AppleT8110DART (1) 3B9DD24F-E779-3DE5-AB2B-A5673D30468A <42 28 9 8 7 6 5 3>
   99    0 0xfffffe00075c6440 0x94c      0x94c      com.apple.driver.AppleS5L8920XPWM (1.0.0d1) 8D423910-CC92-3FF9-812A-4B60BE459A01 <28 9 7 6 5>
  100    0 0xfffffe000761ee50 0x2650     0x2650     com.apple.driver.AppleT6040PCIe (1) 6020F30B-3313-306D-B210-D7DCD727E45F <86 67 28 26 9 8 7 6 5 3>
  101    0 0xfffffe00071218f0 0x965      0x965      com.apple.driver.AppleA7IOP-MXWrap-v1 (1.0.2) 08F7562B-BB0B-3BC9-96C6-DF320688FDDE <41 40 28 7 6 5 3>
  102    1 0xfffffe00073c99b0 0x1b9b     0x1b9b     com.apple.driver.AppleDockChannel (1) 5106D7AF-AFF9-312E-871C-57275F142B8A <28 9 8 7 6 5 3>
